Price,Brand,Model,Year,Color,Fuel_Type,Vehicle_History,Palestinian_Licence,Transmission_Type,Electric_Windows,Engine_Capacity,Kilometers_Driven,Seats,Installment_Payment_Method,Listed_For,Previous_Owners,Radio,Air_Conditioner,Central_Lock,Airbag,Magnesium_Rims,Alert_System,Leather_Seats,Sunroof,Kilometers_Driven_ZScore,Previous_Owners_Ranges,Previous_Owners_Labels
74900,هونداي,اكسنت,2018,فيراني ,ديزل ,خصوصي ,1,اوتوماتيك ,1,1600,50000.0,5,1,للبيع أو التبديل ,0,1,1,1,1,1,0,1,0,-0.7633586077943829,[0-2],1
10000,سوبارو,نملة,1984,سكني ,بنزين ,خصوصي ,1,عادي ,0,1600,803649.0,5,0,للبيع أو التبديل ,9,0,0,0,0,1,0,0,0,3.283764711235119,[5+),3
62000,بيجو,بارتنر,2015,فيراني ,ديزل ,خصوصي ,1,عادي ,1,1600,200000.0,5,0,للبيع فقط ,0,1,1,1,0,0,0,1,1,0.04214700271452145,[0-2],1
15000,اوبل,اسكونا,1984,أبيض ,بنزين ,خصوصي ,1,عادي ,0,1600,803649.0,5,0,للبيع فقط ,3,0,0,0,0,0,0,0,0,3.283764711235119,[3-4],2
73000,هونداي,توسان,2013,رصاصي ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,97000.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,1,1,-0.5109668498349262,[0-2],1
105000,سكودا,اوكتافيا,2016,عدة الوان ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,139000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,1,-0.285425278892433,[0-2],1
115000,هونداي,سانتافيه,2017,فضي ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,50000.0,7,1,للبيع فقط ,0,1,1,1,1,1,1,1,0,-0.7633586077943829,[0-2],1
31000,اوبل,كورسا,2007,ذهبي ,بنزين ,خصوصي ,1,عادي ,1,1400,164851.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,0,0,-0.14660444197732841,[0-2],1
38000,فورد,فيستا,2013,أزرق ,بنزين ,خصوصي ,1,عادي ,1,1250,103032.0,5,0,للبيع أو التبديل ,1,1,1,1,1,0,0,1,0,-0.4785747842176615,[0-2],1
75000,سيت,ليون,2018,فيراني ,بنزين ,خصوصي ,1,عادي ,1,1200,51516.0,5,1,للبيع فقط ,0,1,1,1,1,1,1,0,0,-0.7552176310908396,[0-2],1
138000,سكودا,سوبيرب,2017,رمادي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1800,100000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,1,-0.49485673762474813,[0-2],1
60000,هونداي,توسان,2008,سكني ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,339597.0,5,1,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,0.7917881141159316,[0-2],1
120000,فولكسفاجن,كادي,2016,رمادي ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,113000.0,8,0,للبيع أو التبديل ,0,1,1,1,1,1,1,1,1,-0.4250462513806431,[0-2],1
30000,هونداي,فيرنا,2007,فضي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,75000.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,0,0,-0.6291076727095656,[0-2],1
60000,كيا,برايد,2016,أبيض ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,72122.0,5,0,للبيع أو التبديل ,0,1,1,1,1,1,1,1,0,-0.6445626403565298,[0-2],1
120000,مرسيدس,E200,2013,زيتي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,2000,50000.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,1,1,-0.7633586077943829,[0-2],1
57000,هونداي,اكسنت,2015,أبيض ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,90000.0,5,0,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,-0.5485571116586752,[0-2],1
25000,دراجة,نارية,2019,أحمر ,بنزين ,خصوصي ,1,عادي ,0,250,41212.0,2,1,للبيع فقط ,0,0,0,0,0,1,0,0,0,-0.8105504964953979,[0-2],1
240000,ميتسوبيشي,L200,2020,أبيض عاجي ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2500,6700.0,5,1,للبيع أو التبديل ,1,1,1,1,1,1,1,1,0,-0.9958812273612867,[0-2],1
45000,سكودا,اوكتافيا,2006,أسود ,ديزل ,عمومي ,1,عادي ,1,1900,384876.0,5,0,للبيع أو التبديل ,1,1,1,1,1,1,0,1,0,1.0349380377041495,[0-2],1
34000,فولكسفاجن,بورا,2005,أبيض ,ديزل ,عمومي ,1,عادي ,1,1900,407516.0,5,0,للبيع فقط ,6,1,1,1,0,1,0,0,0,1.1565156845169602,[5+),3
48000,هونداي,توسان,2006,أزرق ,ديزل ,خصوصي ,1,اوتوماتيك ,1,1600,190000.0,5,0,للبيع أو التبديل ,1,1,0,1,0,1,0,1,1,-0.01155337131940551,[0-2],1
50000,بي,ام,2005,بترولي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1900,185457.0,5,0,للبيع فقط ,1,1,0,1,1,1,1,1,1,-0.03594945124301853,[0-2],1
67000,هونداي,توسان,2010,أبيض ,ديزل ,خصوصي ,1,نصف اوتوماتيك ,1,2000,12000.0,5,0,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,-0.9674200291233054,[0-2],1
