سعر,شركة,موديل,سنة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,مسجل,CD,مُكيّف,إغلاق مركزي,وسادة هوائية,جنطات مغنيسيوم,جهاز إنذار,فرش جلد,فتحة سقف
42000,هونداي,افانتي,2006,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,123457.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,0,0,0,0,0,0,0,0,0
85000,فولكسفاجن,توران,2011,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,250000.0,7,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,0
32500,شفروليه,اوبترا,2006,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,140000.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,0,1,1,0,1,0,0
33500,اوبل,كورسا,2003,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,122000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,0
97000,فولكسفاجن,توران,2012,رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,249037.0,7,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,0,0
85000,هونداي,توسان,2010,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,294317.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
45000,فورد,فيستا,2012,بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,78000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,0,0,0
21000,دايو,رايسر,1996,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1500,278186.0,5,إمكانية التقسيط ,للبيع فقط ,3,1,1,1,1,1,0,1,1,0
11000,رينو,R9,1983,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1100,824256.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,1,1,0,0,0,1,0,1,0
45000,فورد,ترانزيت,2000,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,520715.0,8,نقدا فقط ,للبيع أو التبديل ,2,1,1,0,0,1,0,0,0,0
20000,مرسيدس,فيتو,1999,رصاصي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,543355.0,5,إمكانية التقسيط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,0
56500,اوبل,كورسا,2015,رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,22000.0,6,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,0,0
85000,جييب,شيروكي,2003,رصاصي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3700,130000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
10000,رينو,R9,1982,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1235,844862.0,5,نقدا فقط ,للبيع فقط ,8,0,0,0,0,0,0,0,0,0
51900,اوبل,كورسا,2013,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,103032.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,0
75000,فولكسفاجن,كرافيل,2008,برتقالي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,339597.0,8,نقدا فقط ,للبيع فقط ,1,1,1,1,0,1,0,1,1,0
40000,هونداي,جيتس,2007,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,900000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,0
113000,سكودا,اوكتافيا,2015,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,7000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,0,0
25000,فولكسفاجن,بولو,1997,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,267883.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,0,1,1,1,1,0,0
60000,فولكسفاجن,جولف,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,164851.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,0,1,1,0,0
100000,فولكسفاجن,جولف,2012,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,65000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
37000,سكودا,اوكتافيا,2001,أخضر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,498075.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,0,0,1,0,1,1
85000,فولكسفاجن,باسات,2010,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,190000.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,0,0
37000,فولكسفاجن,ترانسبورتر,1999,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2400,543355.0,8,إمكانية التقسيط ,للبيع أو التبديل ,2,1,1,0,0,0,0,0,1,0
23000,اوبل,كاديت,1986,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500,762436.0,5,إمكانية التقسيط ,للبيع فقط ,3,1,1,0,1,0,1,1,0,0
69000,بيجو,بارتنر,2012,رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,249037.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,0,1,0
13000,اوبل,كاديت,1984,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400,184000.0,5,نقدا فقط ,للبيع فقط ,5,1,1,0,1,1,1,0,1,0
6000,اوبل,اسكونا,1984,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300,200000.0,6,نقدا فقط ,للبيع فقط ,5,0,0,0,0,0,1,0,1,0
45000,اوبل,زافيرا,2004,أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,430156.0,7,نقدا فقط ,للبيع فقط ,3,1,1,1,1,1,1,1,1,0
123999,سكودا,سوبيرب,2014,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,203758.0,5,نقدا فقط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,0,0
59000,كيا,بيكانتو,2015,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000,30000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,0,0
84000,فولكسفاجن,بولو,2015,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,82425.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
5500,فورد,فوكس,2002,أبيض ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600,295000.0,5,نقدا فقط ,للبيع فقط ,2,0,0,1,1,1,0,0,0,0
108000,فولكسفاجن,كادي,2015,بني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,60000.0,7,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,0,1,1,0
22000,دايو,نوبيرا,1997,خمري ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500,143212.0,5,إمكانية التقسيط ,للبيع أو التبديل ,9,1,1,1,1,0,0,0,0,0
215000,بي,ام,2014,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,43000.0,5,نقدا فقط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,1,1
67000,فورد,فيستا,2013,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,71000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,0
45000,شفروليه,افيو,2009,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,160000.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,0,1,0,0
55000,هونداي,توسان,2006,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,384876.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,0
11500,دراجة,نارية,2016,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,125,4000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,0,0,0,0,0,0,0,0,0,0
4000,فولكسفاجن,جولف,1982,خمري ,بنزين ,تأجير ,فلسطينية ,عادي ,الكتروني ,1300,844862.0,5,نقدا فقط ,للبيع فقط ,4,0,0,0,0,0,0,0,0,0
66000,هونداي,توسان,2008,سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,121000.0,6,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,1,0,1
68000,هونداي,اكسنت,2015,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,9900.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,0,1,0
95000,سكودا,اوكتافيا,2016,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,56000.0,5,إمكانية التقسيط ,للبيع فقط ,0,1,1,1,1,1,1,1,0,1
7000,رينو,R9,1983,كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1100,824256.0,5,إمكانية التقسيط ,للبيع فقط ,4,0,0,0,0,0,0,0,0,0
57000,بيجو,بارتنر,2011,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,260000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,1,1,0
7500,بيجو,305,1984,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300,803649.0,5,نقدا فقط ,للبيع فقط ,3,1,1,0,0,0,0,0,1,0
1900,ستروين,كسارا,2000,سكني ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600,236973.0,6,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,0,1,1,0
42000,هونداي,كليك,2007,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,80000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,0,1,0,0
25000,بي,ام,1994,كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,200000.0,5,إمكانية التقسيط ,للبيع فقط ,5,1,1,1,1,1,1,1,1,1
60000,هونداي,i25,2014,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,60000.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,0
38500,بيجو,307,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,140000.0,5,نقدا فقط ,للبيع أو التبديل ,5,1,1,1,1,1,1,1,0,1
55000,هونداي,i30,2008,رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,124000.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,0
87000,فولكسفاجن,CC,2010,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,120000.0,6,إمكانية التقسيط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,1
120000,كيا,سورينتو,2013,فضي ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2200,100000.0,7,نقدا فقط ,للبيع فقط ,1,1,1,1,1,0,1,1,1,0
22000,دايو,ماتيز,2002,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,800,90000.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,1,1,1,1,0,1,0
30000,مرسيدس,220,1997,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,220,588634.0,5,إمكانية التقسيط ,للبيع فقط ,2,1,1,0,1,0,1,1,1,0
190000,فولفو,FH,2001,أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,420,498075.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,1
36000,فولكسفاجن,باسات,2000,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,236973.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,0
28000,شفروليه,اوبترا,2007,ذهبي ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,164851.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,0,0,0,0
42000,هونداي,كليك,2008,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,154548.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,1,1,1,1,1,1,1
44500,كيا,فورتي,2009,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,99000.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,1,1,1,1,1,1,1
33000,اوبل,أوميغا,1997,ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500,200000.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,1
59500,كيا,فورتي,2008,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,82000.0,5,نقدا فقط ,للبيع أو التبديل ,3,1,1,1,1,1,1,1,1,1
3800,كيا,ريو,2007,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1500,32123123.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,1,1,0,0
28500,اوبل,استرا,1999,أخضر ,بنزين ,تأجير ,فلسطينية ,عادي ,الكتروني ,1400,120000.0,5,إمكانية التقسيط ,للبيع فقط ,2,1,1,1,1,1,0,0,0,0
55000,سكودا,اوكتافيا,2009,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,316957.0,5,إمكانية التقسيط ,للبيع فقط ,2,1,1,1,1,1,1,1,1,0
30000,هونداي,الانترا,2006,أزرق سماوي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1999,384876.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,0,0,0,0,0,1
38000,فولكسفاجن,باسات,1998,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,166000.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,1,1,1,0,1,1,0
50000,سكودا,اوكتافيا,2007,فيراني ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,275000.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,0
14500,رينو,R5,1988,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,721224.0,5,نقدا فقط ,للبيع فقط ,3,0,0,0,1,0,1,0,0,0
67000,هونداي,اكسنت,2013,خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,60000.0,5,نقدا فقط ,للبيع فقط ,3,1,1,1,1,1,1,1,1,0
54000,اوبل,كورسا,2013,فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400,103032.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,1,1,1,1,0,0,0
170000,مازدا,6,2015,خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500,50000.0,5,نقدا فقط ,للبيع فقط ,0,1,1,1,1,1,1,1,1,1
23000,دايو,ليجانزا,1999,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,247276.0,5,نقدا فقط ,للبيع فقط ,2,0,0,0,0,0,1,0,0,0
89500,كيا,سبورتاج,2011,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,82700.0,5,نقدا فقط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,1
60000,سكودا,اوكتافيا,2008,رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,339597.0,5,نقدا فقط ,للبيع فقط ,2,1,1,1,1,1,1,0,0,0
130000,فولكسفاجن,طوارق,2008,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3600,123000.0,5,نقدا فقط ,للبيع أو التبديل ,2,1,1,1,1,1,1,1,1,1
78000,فولكسفاجن,جولف,2010,أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,120000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,1,1,1,1,1,1,1,0,0
63000,سكودا,اوكتافيا,2008,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,500000.0,5,نقدا فقط ,للبيع فقط ,4,0,0,1,1,1,1,1,0,0
59000,ايسوزو,تروبر,1999,ذهبي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,3000,18000000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,5,1,1,1,1,1,1,0,1,0
41000,هونداي,جيتس,2008,أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,150000.0,5,نقدا فقط ,للبيع أو التبديل ,4,1,1,0,1,1,1,1,0,0
11000,اوبل,اسكونا,1984,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300,100000.0,5,نقدا فقط ,للبيع فقط ,4,0,0,0,0,0,0,0,0,0
60500,سكودا,اوكتافيا,2007,سكني ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,362236.0,5,إمكانية التقسيط ,للبيع فقط ,1,1,1,0,0,0,1,1,0,0
5000,سانغ,يونغ,2013,أزرق ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,125,103032.0,5,نقدا فقط ,للبيع فقط ,1,1,1,1,1,1,1,1,1,1
105000,فولكسفاجن,كادي,2014,فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,60000.0,7,نقدا فقط ,للبيع أو التبديل ,0,1,1,1,1,1,1,1,0,0
58000,سيت,ابيزا,2014,أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,80000.0,5,إمكانية التقسيط ,للتبديل فقط ,0,1,1,1,1,1,1,0,0,0
33000,فيات,دوبلو,2004,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,430156.0,5,نقدا فقط ,للبيع فقط ,1,1,1,0,0,0,1,0,0,0
